tf,motif,percentile,fold,metric,value
ELF1,shape,,main,aupr,0.8898186635636689
ELF1,shape,,0,aupr,0.8880997931288385
ELF1,shape,,1,aupr,0.891598262771332
ELF1,shape,,2,aupr,0.9170234594326192
ELF1,shape,,3,aupr,0.8949417046824362
ELF1,shape,,4,aupr,0.880327344954488
ELF1,shape_and_seq,,main,aupr,0.932202170617744
ELF1,shape_and_seq,,0,aupr,0.8982115457114844
ELF1,shape_and_seq,,1,aupr,0.8885282741573737
ELF1,shape_and_seq,,2,aupr,0.9284763187762524
ELF1,shape_and_seq,,3,aupr,0.9297596855008717
ELF1,shape_and_seq,,4,aupr,0.9238941432002284
ELF1,jaspar,,main,aupr,0.5390337290586493
ELF1,jaspar,,0,aupr,0.5849316854762399
ELF1,jaspar,,1,aupr,0.5173242134371115
ELF1,jaspar,,2,aupr,0.5251937833660848
ELF1,jaspar,,3,aupr,0.5477998657987329
ELF1,jaspar,,4,aupr,0.5412303148774027
ELF1,shape_and_jaspar,,main,aupr,0.9207810135828667
ELF1,shape_and_jaspar,,0,aupr,0.8926817136465776
ELF1,shape_and_jaspar,,1,aupr,0.9049746010514459
ELF1,shape_and_jaspar,,2,aupr,0.898187645584296
ELF1,shape_and_jaspar,,3,aupr,0.8754459680723052
ELF1,shape_and_jaspar,,4,aupr,0.9180199448797595
ELF1,shape_and_seq_no_lasso,,main,aupr,0.9466113503626045
ELF1,shape_and_seq_no_lasso,,0,aupr,0.9230012743169556
ELF1,shape_and_seq_no_lasso,,1,aupr,0.8826838436552301
ELF1,shape_and_seq_no_lasso,,2,aupr,0.9105030649076205
ELF1,shape_and_seq_no_lasso,,3,aupr,0.9429675808504842
ELF1,shape_and_seq_no_lasso,,4,aupr,0.9188017520985227
ETS1,seq,,main,aupr,0.5364733739220954
ETS1,seq,,0,aupr,0.486411326147325
ETS1,seq,,1,aupr,0.4412139644351395
ETS1,seq,,2,aupr,0.49101302713320966
ETS1,seq,,3,aupr,0.5127223829559218
ETS1,seq,,4,aupr,0.4206068717613267
ETS1,shape,,main,aupr,0.6201563160340845
ETS1,shape,,0,aupr,0.5684068000533385
ETS1,shape,,1,aupr,0.6085730057075484
ETS1,shape,,2,aupr,0.5912718788866953
ETS1,shape,,3,aupr,0.623328530259366
ETS1,shape,,4,aupr,0.5808485965304147
ETS1,shape_and_seq,,main,aupr,0.5965319456782952
ETS1,shape_and_seq,,0,aupr,0.46517117407151554
ETS1,shape_and_seq,,1,aupr,0.475619935206669
ETS1,shape_and_seq,,2,aupr,0.49928346420183817
ETS1,shape_and_seq,,3,aupr,0.5193371934277041
ETS1,shape_and_seq,,4,aupr,0.4480768171656544
ETS1,jaspar,,main,aupr,
ETS1,jaspar,,0,aupr,
ETS1,jaspar,,1,aupr,
ETS1,jaspar,,2,aupr,
ETS1,jaspar,,3,aupr,
ETS1,jaspar,,4,aupr,
ETS1,shape_and_jaspar,,main,aupr,0.30637499579403793
ETS1,shape_and_jaspar,,0,aupr,0.30154647417295366
ETS1,shape_and_jaspar,,1,aupr,0.28051010793041986
ETS1,shape_and_jaspar,,2,aupr,0.31801442709122335
ETS1,shape_and_jaspar,,3,aupr,0.2955589301272897
ETS1,shape_and_jaspar,,4,aupr,0.31521423146470434
ETS1,shape_and_seq_no_lasso,,main,aupr,0.5798643642451209
ETS1,shape_and_seq_no_lasso,,0,aupr,0.5337133605159153
ETS1,shape_and_seq_no_lasso,,1,aupr,0.564501742768303
